id,title,short_title,year,country
110,'Le Fabuleux destin d\'Amelie Poulain','amelie',2001,'France / Germany'
111,'Wu Yen','wuyen',2001,'Hong Kong'
112,'Memento Mori','mementomori',1999,'Kyrgyzstan / South Korea'
113,'Champions Forever','championsforever',1989,'U.S.'
114,'Running Out of Time','runningoutoftime',1999,'Hong Kong'
115,'A Hero Never Dies','heroneverdies',1998,'Hong Kong'
116,'Audition','audition',1999,'Japan'
117,'High Fidelity','highfidelity',2000,'U.S.'
118,'Prodigal Son','prodigalson',1983,'Hong Kong'
119,'Boxing\'s Best: Muhammad Ali','boxingsbest',1989,'U.S.'
120,'Indecent Proposal','indecentproposal',1993,'U.S.'
121,'The God of Cookery','godofcookery',1996,'Hong Kong'
122,'Billy Elliot','billyelliot',2000,'U.K.'
123,'Metade Fumaca','metadefumaca',1999,'Hong Kong'
124,'The Wicked City','wickedcity',1992,'Hong Kong'
125,'Pretty In Pink','prettyinpink',1986,'U.S.'
126,'Gojira (aka, Godzilla)','gojira',1954,'Japan'
127,'Feel 100%','feel100',1996,'Hong Kong'
128,'Conan the Barbarian','conan',1982,'U.S.'
129,'The One Armed Boxer Vs. The Flying Guillotine (aka, Master of the Flying Guillotine)','flyingguillotine',1975,'Hong Kong'
130,'Robocop','robocop',1987,'U.S.'
131,'Tao no Tsuki (aka, Moon over Tao - Makaraga)','moonovertao',1997,'Japan'
132,'Moon Warriors','moonwarriors',1993,'Hong Kong'
133,'The Lord of the Rings: The Fellowship of the Ring','fellowship',2001,'New Zealand'
134,'10 Things I Hate About You','tenthings',1999,'U.S.'
135,'Dead Man','deadman',1995,'U.S.'
136,'Waking Ned Devine','wakingned',1998,'Ireland / U.K.'
137,'Ocean\'s Eleven','oceanseleven',2001,'U.S.'
138,'Evil Dead II','evildead2',1987,'U.S.'
139,'Army of Darkness','armyofdarkness',1993,'U.S.'
140,'Ali','ali',2001,'U.S.'
141,'Of Mice and Men','ofmiceandmen',1992,'U.S.'
142,'Monsters, Inc.','monstersinc',2001,'U.S.'
143,'The Terminator','terminator',1984,'U.S.'
144,'Le Pacte des Loups (aka, Brotherhood of the Wolf)','lepactedesloups',2001,'France'
145,'Blade','blade',1998,'U.S.'
146,'Time and Tide','timeandtide',2000,'Hong Kong'
147,'Titan A.E.','titanae',2000,'U.S.'
148,'Being John Malkovich','beingjohn',1999,'U.S.'
149,'Bridget Jones\'s Diary','bridgetjones',2001,'U.K.'
150,'X-Men','xmen',2000,'U.S.'
151,'The Sword','thesword',1980,'Hong Kong'
152,'The Legend of Zu','legendofzu',2001,'Hong Kong'
153,'Firestarter','firestarter',1984,'U.S.'
154,'Bullets Over Summer','bulletsoversummer',1999,'Hong Kong'
155,'King of Beggars','kingofbeggars',1992,'Hong Kong'
156,'The Karate Kid','karatekid',1984,'U.S.'
157,'Beyond The Mat','beyondthemat',1999,'U.S.'
158,'Forbidden City Cop','forbiddencitycop',1996,'Hong Kong'
159,'Payback','payback',1999,'U.S.'
160,'Miyamoto Musashi (aka, Samurai 1)','miyamotomusashi1',1954,'Japan'
161,'Ghost World','ghostworld',2001,'U.S.'
162,'Royal Warriors','royalwarriors',1986,'Hong Kong'
163,'Drunken Master III','drunkenmaster3',1994,'Hong Kong'
164,'Miyamoto Musashi: Ichijoji no Ketto (aka, Samura 2: Duel at Ichijoji Temple)','miyamotomusashi2',1955,'Japan'
165,'Beyond Hypothermia','beyondhypothermia',1996,'Hong Kong'
166,'Memento','memento',2000,'U.S.'
167,'The 13th Warrior','13thwarrior',1999,'U.S.'
168,'Spy Kids','spykids',2001,'U.S.'
169,'Mr. Vampire','mrvampire',1985,'Hong Kong'
