short_title|title|year|country
someonespecial|Someone Special|2004|South Korea
onceuponatimeinthewest|C'era una Volta il West (aka, Once Upon a Time in the West)|1968|Italy / U.S.
motorcyclediaries|Diarios de Motocicleta (aka, Motorcycle Diaries)|2004|U.S. / Argentina / Chile / Peru
battlestargalactica|Battlestar Galactica|2003|U.S.
purplebutterfly|Purple Butterfly|2003|China
waikikibrothers|Waikiki Brothers|2001|South Korea
wererabbit|Wallace & Gromit in The Curse of the Were-Rabbit|2005|U.K.
charliechocolatefactory|Charlie and the Chocolate Factory|2005|U.S. / U.K.
themyth|The Myth|2005|Hong Kong
closeshave|A Close Shave|1995|U.K.
wrongtrousers|The Wrong Trousers|1993|U.K.
granddayout|A Grand Day Out|1989|U.K.
syriana|Syriana|2005|U.S.
brokeback|Brokeback Mountain|2005|U.S.
duckyousucker|Gi&ugrave; la testa (aka, Duck, You Sucker)|1971|Italy
301302|301, 302|1995|South Korea
aboutschmidt|About Schmidt|2002|U.S.
banlieue13|Banlieue 13|2004|France
boysofbaraka|The Boys of Baraka|2005|U.S.
dirtyharry|Dirty Harry|1971|U.S.
duelist|Duelist (aka, Hyeongsa)|2005|South Korea
executionersfromshaolin|Executioners from Shaolin|1977|Hong Kong
harakiri|Seppuku (aka, Harakiri)|1962|Japan
hisgirlfriday|His Girl Friday|1939|U.S.
kingkong|King Kong|2005|U.S.
ladyvengeance|Lady Vengeance (aka, Sympathy for Lady Vengeance)|2005|South Korea
memoriesofmurder|Memories of Murder|2003|South Korea
postconcussion|Post Concussion|1999|U.S.
silmido|Silmido|2003|South Korea
sorum|Sorum|2001|South Korea
theendofsuburbia|The End of Suburbia: Oil Depletion and the Collapse of the American Dream|2004|U.S.
theunforgiven|The Unforgiven|2005|South Korea
theyesmen|The Yes Men|2004|U.S.
wrestlinggrounds|Wrestling Grounds|2006|Senegal
xmen3|X-Men: The Last Stand|2006|U.S.
johnstownflood|The Johnstown Flood|1989|U.S.
palemale|Pale Male|2002|U.S.
tsotsi|Tsotsi|2005|South Africa
huoyuanjia|Fearless|2006|China / Hong Kong
yasu|Yasu (aka, Running Wild)|2006|South Korea
weddingcrashers|Wedding Crashers|2005|U.S.
mrhandy|Mr. Handy|2004|South Korea
thehost|The Host (aka, Gwoemul)|2006|South Korea
greatestexpectation|The Greatest Expectation (aka, Widaehan Yusan)|2003|South Korea
akeelahandthebee|Akeelah and the Bee|2006|U.S.
blazingsaddles|Blazing Saddles|1974|U.S.
constantgardener|The Constant Gardener|2005|U.K. / Kenya
northcountry|North Country|2005|U.S.
seeyouafterschool|See You After School (aka, Bangkwahoo Oksang)|2006|South Korea
sincity|Sin City|2005|U.S.
thepromise|The Promise|2005|China
vforvendetta|V for Vendetta|2005|U.K. / U.S.
volver|Volver|2006|Spain
munich|Munich|2005|U.S.
lastkingofscotland|The Last King of Scotland|2006|U.K.
littlemisssunshine|Little Miss Sunshine|2006|U.S.
thenamesake|The Namesake|2007|India / U.S.
finishingthegame|Finishing the Game|2006|U.S.
whitelightblackrain|White Light/Black Rain|2006|U.S.
mushishi|Mushishi (aka Bugmaster)|2006|Japan
darkmatter|Dark Matter|2007|U.S.
animationspotlight2007|Animation Spotlight|2007|U.S.
shortsprogramiii2007|Shorts Program III|2007|U.S.
eaglevsshark|Eagle vs. Shark|2006|New Zealand
voiceofamurderer|Voice of a Murderer (aka, Geu nom moksori)|2007|South Korea
sway|Yureru (aka, Sway)|2006|Japan
