short_title|title|year|country
moonwarriors|Moon Warriors|1993|Hong Kong
fellowship|The Lord of the Rings: The Fellowship of the Ring|2001|New Zealand
tenthings|10 Things I Hate About You|1999|U.S.
deadman|Dead Man|1995|U.S.
wakingned|Waking Ned Devine|1998|Ireland / U.K.
oceanseleven|Ocean's Eleven|2001|U.S.
evildead2|Evil Dead II|1987|U.S.
armyofdarkness|Army of Darkness|1993|U.S.
ali|Ali|2001|U.S.
ofmiceandmen|Of Mice and Men|1992|U.S.
monstersinc|Monsters, Inc.|2001|U.S.
terminator|The Terminator|1984|U.S.
lepactedesloups|Le Pacte des Loups (aka, Brotherhood of the Wolf)|2001|France
blade|Blade|1998|U.S.
timeandtide|Time and Tide|2000|Hong Kong
titanae|Titan A.E.|2000|U.S.
beingjohn|Being John Malkovich|1999|U.S.
bridgetjones|Bridget Jones's Diary|2001|U.K.
xmen|X-Men|2000|U.S.
thesword|The Sword|1980|Hong Kong
legendofzu|The Legend of Zu|2001|Hong Kong
firestarter|Firestarter|1984|U.S.
bulletsoversummer|Bullets Over Summer|1999|Hong Kong
kingofbeggars|King of Beggars|1992|Hong Kong
karatekid|The Karate Kid|1984|U.S.
beyondthemat|Beyond The Mat|1999|U.S.
forbiddencitycop|Forbidden City Cop|1996|Hong Kong
payback|Payback|1999|U.S.
miyamotomusashi1|Miyamoto Musashi (aka, Samurai 1)|1954|Japan
ghostworld|Ghost World|2001|U.S.
royalwarriors|Royal Warriors|1986|Hong Kong
drunkenmaster3|Drunken Master III|1994|Hong Kong
miyamotomusashi2|Miyamoto Musashi: Ichijoji no Ketto (aka, Samura 2: Duel at Ichijoji Temple)|1955|Japan
beyondhypothermia|Beyond Hypothermia|1996|Hong Kong
memento|Memento|2000|U.S.
13thwarrior|The 13th Warrior|1999|U.S.
spykids|Spy Kids|2001|U.S.
mrvampire|Mr. Vampire|1985|Hong Kong
blackcat|Black Cat|1991|Hong Kong
amoresperros|Amores Perros|2000|Mexico
miyamotomusashi3|Miyamoto Musashi: Kett&#244; Ganry&#251;-jima (aka, Samurai III: Duel at Ganryu Island)|1956|Japan
pygmalion|Pygmalion|1938|U.K.
mummyreturns|The Mummy Returns|2001|U.S.
newdragoninn|New Dragon Inn|1992|Hong Kong
ytumamatambien|Y Tu Mam&#225; Tambi&#233;n|2001|Mexico
gattaca|Gattaca|1997|U.S.
ridingincars|Riding in Cars with Boys|2001|U.S.
cgs2|A Chinese Ghost Story II|1990|Hong Kong
bloodlust|Vampire Hunter D: Bloodlust|2000|Japan
bungeejumping|Bungee Jumping of their Own|2001|South Korea
billandteds|Bill &amp; Ted's Excellent Adventure|1989|U.S.
inthemoodforlove|In the Mood for Love|2000|Hong Kong
kikujirononatsu|Kikujiro no Natsu|1999|Japan
mallrats|Mallrats|1995|U.S.
songcatcher|Songcatcher|1999|U.S.
soongsisters|The Soong Sisters|1997|Hong Kong
discreetcharm|The Discreet Charm of the Bourgeoisie|1972|France
bichunmoo|Bichunmoo|2000|South Korea
scorpionking|The Scorpion King|2002|U.S.
rififi|Rififi|1955|France
nomansland|No Man's Land|2001|Bosnia-Herzegovina
fullmetaljacket|Full Metal Jacket|1987|U.S.
friend|Chingu (aka, Friend)|2001|South Korea
marathonman|Marathon Man|1976|U.S.
hudsonhawk|Hudson Hawk|1991|U.S.
spiderman|Spider-Man|2002|U.S.
pitchblack|Pitch Black|2000|Australia
drno|Dr. No|1962|U.K.
help|Help!!!|2000|Hong Kong
sgtkabukiman|Sgt. Kabukiman N.Y.P.D.|1990|U.S.
gunmen|Gunmen|1988|Hong Kong
donniedarko|Donnie Darko|2001|U.S.
ferrisbueller|Ferris Bueller's Day Off|1986|U.S.
mrdeedsgoestotown|Mr. Deeds Goes to Town|1936|U.S.
episode2|Star Wars: Episode II - Attack of the Clones|2002|U.S.
trainingday|Training Day|2001|U.S.
eroticghosts|Erotic Ghost Story|1990|Hong Kong
needingyou|Needing You|2000|Hong Kong
tokyoraiders|Tokyo Raiders|2000|Hong Kong
manwhowouldbeking|The Man Who Would Be King|1975|U.K.
dracula|Bram Stoker's Dracula|1992|U.S.
cestlavie|C'est La Vie, Mon Cheri|1993|Hong Kong
saltoftheearth|Salt of the Earth|1954|U.S.
happygilmore|Happy Gilmore|1996|U.S.
godofgamblers|God of Gamblers|1989|Hong Kong
brandedtokill|Branded To Kill|1967|Japan
kingofcomedy|King of Comedy|1999|Hong Kong
gotellitonthemountain|Go Tell It On the Mountain|1984|U.S.
harvey|Harvey|1950|U.S.
uhf|UHF|1989|U.S.
metropolis|Metropolis|2001|Japan
longestnite|The Longest Nite|1997|Hong Kong
sunshinestate|Sunshine State|2002|U.S.
threekings|Three Kings|1999|U.S.
cgs3|A Chinese Ghost Story III|1991|Hong Kong
doubletap|Double Tap|2000|Hong Kong
irongiant|The Iron Giant|1999|U.S.
samehada|Samehada Otoko to Momojiri Onna (aka, Shark Skin Man and Peach Hip Girl)|1998|Japan
bourneidentity|The Bourne Identity|2002|U.S.
mulhollanddrive|Mulholland Drive|2001|U.S.
boysdontcry|Boys Don't Cry|1999|U.S.
akira|Akira|1988|Japan
dasboot|Das Boot|1981|West Germany
usualsuspects|The Usual Suspects|1995|U.S.
lagaan|Lagaan: Once Upon a Time in India|2001|India
mrniceguy|Mr. Nice Guy|1997|Hong Kong
focus|Focus|2001|U.S.
labrassiere|La Brassiere|2001|Hong Kong
johnq|John Q|2002|U.S.
akaihashinoshitano|Akai hashi no shita no nurui mizu (aka, Warm Water Under a Red Bridge)|2001|Japan
ghostinlove|Ghost in Love|1999|South Korea
beastcops|Beast Cops|1998|Hong Kong
pedicabdriver|Pedicab Driver|1989|Hong Kong
strawdogs|Straw Dogs|1971|U.K.
dragonheart2|Dragonheart: A New Beginning|2000|U.S.
mib|Men In Black|1997|U.S.
shurayukihime2001|Shura Yukihime (aka, Princess Blade)|2001|Japan
nightofthehunter|The Night of the Hunter|1955|U.S.
monstersball|Monster's Ball|2001|U.S.
timebandits|Time Bandits|1981|U.K.
circle|Dayereh (aka, The Circle)|2000|Iran
lifeasahouse|Life as a House|2001|U.S.
georgewashington|George Washington|2000|U.S.
martialangeles|Martial Angels|2001|Hong Kong
orenisawaru|Ore ni Sawaru to Abunai Ze (aka, The Black-Tight Killers)|1966|Japan
tokyoeyes|Tokyo Eyes|1998|Japan
battleroyale|Battle Royale|2000|Japan
versus|Versus|2000|Japan
comrades|Comrades, Almost a Love Story|1996|Hong Kong
bigdeal|Big Deal on Madonna Street|1958|Italy
ichithekiller|Koroshiya Ichi (aka, Ichi the Killer)|2001|Japan
titus|Titus|1999|U.S.
hackers|Hackers|1995|U.S.
menatwork|Men At Work|1990|U.S.
thekiller|The Killer|1989|Hong Kong
friday|Friday|1995|U.S.
wagthedog|Wag the Dog|1997|U.S.
bluecrush|Blue Crush|2002|U.S.
mancalledhero|A Man Called Hero|1999|Hong Kong
ronin|Ronin|1998|U.S.
lordjim|Lord Jim|1965|U.K.
thetuxedo|The Tuxedo|2002|U.S.
hardboiled|Hard-Boiled|1992|Hong Kong
taxidriver|Taxi Driver|1976|U.S.
thetransporter|The Transporter|2002|France
frombeijingwithlove|From Beijing With Love|1994|Hong Kong
400blows|The 400 Blows|1959|France
rapedbyanangel|Raped by an Angel|1993|Hong Kong
iris|Iris|2001|U.S. / U.K.
3strikes|3 Strikes|2000|U.S.
highnoon|High Noon|1952|U.S.
loveonadiet|Love on a Diet|2001|Hong Kong
frequency|Frequency|2000|U.S.
heat|Heat|1995|U.S.
bloodfordracula|Blood for Dracula|1974|Italy
touchofevil|Touch of Evil|1958|U.S.
bowlingforcolumbine|Bowling for Columbine|2002|U.S.
sweetsixteen|Sweet Sixteen|2002|U.K.
uprising|Uprising|2001|U.S.
primalfear|Primal Fear|1996|U.S.
shallowhal|Shallow Hal|2001|U.S.
whatwomenwant|What Women Want|2000|U.S.
roadtrip|Road Trip|2000|U.S.
memyselfirene|Me, Myself &#38; Irene|2000|U.S.
allaboutahlong|All About Ah Long|1989|Hong Kong
spacecowboys|Space Cowboys|2000|U.S.
mrdeeds|Mr. Deeds|2002|U.S.
banditqueen|Bandit Queen|1994|India
intheheatofthenight|In the Heat of the Night|1967|U.S.
bunny|Bunny|1998|U.S.
iceage|Ice Age|2002|U.S.
deucebigalow|Deuce Bigalow: Male Gigolo|1999|U.S.
abettertomorrow|A Better Tomorrow|1986|Hong Kong
charliesangels|Charlie's Angels|2000|U.S.
wonderseven|Wonder Seven|1994|Hong Kong
pulpfiction|Pulp Fiction|1994|U.S.
traffik|Traffik|1989|U.K.
allabouteve|All About Eve|1950|U.S.
rashomon|Rashomon|1950|Japan
liliesofthefield|Lilies of the Field|1963|U.S.
myschoolmate|My School Mate, The Barbarian|2001|Hong Kong
serpico|Serpico|1973|U.S.
inthebedroom|In the Bedroom|2001|U.S.
twotowers|The Lord of the Rings: The Two Towers|2002|New Zealand
ipcressfile|The Ipcress File|1965|U.K.
mylefteyeseesghosts|My Left Eye Sees Ghosts|2002|Hong Kong
dieanotherday|Die Another Day|2002|U.S.
z|Z|1969|Algeria / France
goldmember|Austin Powers in Goldmember|2002|U.S.
ourlady|La Virgen de los Sicarios (aka, Our Lady of the Assassins)|2000|Columbia
gingkobed|The Gingko Bed|1996|South Korea
rushmore|Rushmore|1998|U.S.
swordsman|Swordsman|1990|Hong Kong
liloandstitch|Lilo &#38; Stitch|2002|U.S.
caddyshack|Caddyshack|1980|U.S.
nationalsecurity|National Security|2003|U.S.
julietofthespirits|Juliet of the Spirits|1965|Italy
12angrymen|12 Angry Men|1957|U.S.
kanzosensei|Kanzo Sensei (aka, Dr. Akagi)|1998|Japan
thepianist|The Pianist|2002|Poland
shanghaiknights|Shanghai Knights|2003|U.S. / U.K.
stolenmoments|Stolen Moments|2001|U.S.
faatkine|Faat Kine|2000|Senegal
badlands|Badlands|1973|U.S.
somelikeithot|Some Like It Hot|1959|U.S.
daredevil|Daredevil|2003|U.S.
bullitt|Bullitt|1968|U.S.
aresenicandoldlace|Arsenic and Old Lace|1944|U.S.
barbershop|Barbershop|2002|U.S.
cradle2thegrave|Cradle 2 The Grave|2003|U.S.
magnificentbutcher|Magnificent Butcher|1979|Hong Kong
beautyandthebeast|La Belle et la B&#234;te|1946|France
dragoninn|Dragon Inn|1966|Taiwan
escortsovertigerhills|Escorts Over Tiger Hills|1969|Hong Kong / Taiwan
undercoverbrother|Undercover Brother|2002|U.S.
hero|Hero|2002|China
humanconditioni|Ningen no Joken I (aka, The Human Condition I: No Greater Love)|1959|Japan
moonraker|Moonraker|1979|U.K. / France
election|Election|1999|U.S.
angermanagement|Anger Management|2003|U.S.
betterlucktomorrow|Better Luck Tomorrow|2002|U.S.
infernalaffairs|Infernal Affairs|2002|Hong Kong
rikyu|Rikyu|1989|Japan
made|Made|2001|U.S.
jsa|Joint Security Area|2000|South Korea
goldeneye|GoldenEye|1995|U.K.
x2|X2|2003|U.S.
yesmadam|Yes, Madam|1985|Hong Kong
threedaysofthecondor|Three Days of the Condor|1975|U.S.
sentochihironomakimakushi|Sen to Chihiro no Kamikakushi (aka, Spirited Away)|2001|Japan
armageddon|Armageddon|1998|U.S.
thesting|The Sting|1973|U.S.
strangersonatrain|Strangers On A Train|1951|U.S.
mywifeisagangster|My Wife Is A Gangster|2001|South Korea
trainspotting|Trainspotting|1996|U.K.
italianjob|The Italian Job|2003|U.S.
matrixreloaded|The Matrix Reloaded|2003|U.S.
getcarter|Get Carter|1971|U.K.
killingfields|The Killing Fields|1984|U.K.
goldfinger|Goldfinger|1964|U.K.
spellbound|Spellbound|1945|U.S.
28dayslater|28 Days Later...|2003|U.K.
gonewiththewind|Gone With The Wind|1939|U.S.
mycousinvinny|My Cousin Vinny|1992|U.S.
12monkeys|12 Monkeys|1995|U.S.
shanghainoon|Shanghai Noon|2000|U.S.
fullthrottle|Charlie's Angels: Full Throttle|2003|U.S.
nursebetty|Nurse Betty|2000|U.S.
themindtraveller|The Mind Traveller: Oliver Sacks -- Shane: Tourette's Syndrome|1998|U.K.
femaleconvictscorpion|Joshuu Sasori: Dai-41 Zakkyo-Bou (aka, Female Convict Scorpion: Jailhouse 41)|1972|Japan
punchdrunklove|Punch-Drunk Love|2002|U.S.
princessbride|The Princess Bride|1987|U.S.
sidandnancy|Sid and Nancy|1986|U.S. / U.K.
jazzepisodeone|Jazz: Episode One - Gumbo|2001|U.S. / U.K.
jazzepisodetwo|Jazz: Episode Two - The Gift|2001|U.S. / U.K.
coalminersdaughter|Coal Miner's Daughter|1980|U.S.
tombstone|Tombstone|1993|U.S.
ringu|Ringu|1998|Japan
jazzepisodethree|Jazz: Episode Three - Our Language|2001|U.S. / U.K.
starshiptroopers|Starship Troopers|1997|U.S.
seeingred|Seeing Red|1983|U.S.
pinkpanther|The Pink Panther|1964|U.S. / U.K.
casadelosbabys|Casa de los Babys|2003|U.S.
kingofnewyork|King of New York|1990|U.S.
thevisitors|The Visitors|1993|France
chunhyang|Chunhyang|2000|South Korea
libertyvalance|The Man Who Shot Liberty Valance|1962|U.S.
seabiscuit|Seabiscuit|2003|U.S.
tandem|Tandem (aka, Chikan Densha Hitozuma-hen: Okusama wa Chijo)|1994|Japan
hidharma|Hi! Dharma!|2001|South Korea
themeaningoflife|Monty Python's The Meaning of Life|1983|U.K.
zatouichimonogotari|Zatouichi Monogatari|1962|Japan
limbo|Limbo|1999|U.S.
onceuponatimeinmexico|Once Upon A Time In Mexico|2003|Mexico / U.S.
onceuponatimeinamerica|Once Upon A Time In America|1984|U.S.
sex|Sex: The Annabel Chong Story|1999|U.S.
whenwewerekings|When We Were Kings|1996|U.S.
investigationofacitizen|Investigation of a Citizen Above Suspicion|1970|Italy
bubbahotep|Bubba Ho-Tep|2002|U.S.
headofstate|Head of State|2003|U.S.
tailorofpanama|The Tailor of Panama|2001|U.S.
themack|The Mack|1973|U.S.
lianna|Lianna|1983|U.S.
killbillvol1|Kill Bill Volume 1|2003|U.S.
mysticriver|Mystic River|2003|U.S.
thequietamerican|The Quiet American|2002|U.S.
killingofachinesebookie|The Killing of a Chinese Bookie|1976|U.S.
schoolofrock|The School of Rock|2003|U.S.
triplettes|Les Triplettes de Belleville|2003|France / Belgium / Canada
centrestage|Centre Stage|1992|Hong Kong
secretary|Secretary|2002|U.S.
8mile|8 Mile|2002|U.S.
zeroeffect|Zero Effect|1998|U.S.
bigfish|Big Fish|2003|U.S.
snowfallingoncedars|Snow Falling on Cedars|1999|U.S.
thegoodthebadandtheugly|The Good, the Bad and the Ugly|1966|Italy
returnoftheking|The Lord of the Rings: The Return of the King|2003|New Zealand
peterpan|Peter Pan|2003|U.S.
battleofalgiers|The Battle of Algiers|1965|Algeria / Italy
arabiannights|Arabian Nights|2000|U.S.
drzhivago|Doctor Zhivago|1965|U.S.
brotherfromanotherplanet|The Brother From Another Planet|1984|U.S.
capturingthefriedmans|Capturing the Friedmans|2003|U.S.
closeencounters|Close Encounters of the Third Kind|1977|U.S.
mysassygirl|My Sassy Girl (aka, Yupki Girl)|2001|South Korea
greatescape|The Great Escape|1963|U.S.
murderbydeath|Murder By Death|1976|U.S.
futureboyconan|Mirai Shounen Konan (aka, Future Boy Conan)|1978|Japan
failan|Failan|2001|South Korea
basicinstinct|Basic Instinct|1992|U.S.
myarchitect|My Architect: A Son's Journey|2003|U.S.
firefly|Firefly|2002|U.S.
thenavigators|The Navigators|2001|U.K.
returnofthesecaucus7|Return of the Secaucus 7|1980|U.S.
classic|Classic|2003|South Korea
kazenotaninonaushika|Kaze no Tani no Naushika (aka, Nausica&#228; of the Valley of the Winds)|1984|Japan
eternalsunshine|Eternal Sunshine of the Spotless Mind|2004|U.S.
hellboy|Hellboy|2004|U.S.
girlnextdoor|The Girl Next Door|2004|U.S.
springsummer|Spring, Summer, Fall, Winter... and Spring|2003|South Korea
easyrider|Easy Rider|1969|U.S.
azumi|Azumi|2003|Japan
tasogaresamurai|Tasogare Samurai (aka, Twilight Samurai)|2002|Japan
menaceiisociety|Menace II Society|1993|U.S.
therundown|The Rundown|2003|U.S.
themedallion|The Medallion|2003|Hong Kong / U.S.
johnnyenglish|Johnny English|2003|U.K.
secondhandlions|Secondhand Lions|2003|U.S.
mybigfatgreekwedding|My Big Fat Greek Wedding|2002|U.S.
downtoearth|Down To Earth|2001|U.S.
mybosssdaughter|My Boss's Daughter|2003|U.S.
meettheparents|Meet The Parents|2000|U.S.
monster|Monster|2003|U.S.
mybabysdaddy|My Baby's Daddy|2004|U.S.
drunkenmaster2|Drunken Master II|1994|Hong Kong
mywifeisagangster2|My Wife Is A Gangster 2|2003|South Korea
storyoftheweepingcamel|The Story of the Weeping Camel|2003|Mongolia
oasis|Oasis|2002|South Korea
vibrator|Vibrator|2003|Japan
thespookwhosatbythedoor|The Spook Who Sat by the Door|1973|U.S.
negroeswithguns|Negroes with Guns: Rob Williams and Black Power|2003|U.S.
aroundtheworldin80days|Around the World in 80 Days|2004|U.S.
fahrenheit911|Fahrenheit 9/11|2004|U.S.
spiderman2|Spider-Man 2|2004|U.S.
controlroom|Control Room|2004|U.S.
sympathyformrvengeance|Sympathy for Mr. Vengeance|2002|South Korea
shurayukihime|Shurayukihime (aka, Lady Snowblood)|1973|Japan
theylive|They Live|1988|U.S.
oldboy|Oldboy|2003|South Korea
tellmesomething|Tell Me Something|1999|South Korea
kickthemoon|Kick The Moon|2001|South Korea
loveletter|Love Letter|1995|Japan
foulking|Foul King|2000|South Korea
heartsandminds|Hearts and Minds|1974|U.S.
ohsoojung|Oh! Soo-Jung (aka, Virgin Stripped Bare By Her Bachelors)|2000|South Korea
takecareofmycat|Take Care of My Cat|2001|South Korea
collateral|Collateral|2004|U.S.
clashofthetitans|Clash of the Titans|1981|U.K.
planetoftheapes|Planet of the Apes|1968|U.S.
nikita|Nikita (aka, La Femme Nikita)|1990|France
napoleondynamite|Napoleon Dynamite|2004|U.S.
taegukgi|Taegukgi Hwinalrimyeo|2004|South Korea
zatouichi|Zatouichi (aka, The Blind Swordsman: Zatoichi)|2003|Japan
killbillvol2|Kill Bill Volume 2|2004|U.S.
anarchists|Anarchists|2002|South Korea
nabi|Nabi|2001|South Korea
thewayhome|The Way Home|2002|South Korea
samaria|Samaria (aka, Samaritan Girl)|2004|South Korea
agoodlawyerswife|A Good Lawyer's Wife|2003|South Korea
musa|Musa|2001|South Korea
allaboutlilychouchou|Lily Chou-Chou no Subete (aka, All About Lily Chou-Chou)|2001|Japan
stateofsiege|State of Siege|1973|France
shaunofthedead|Shaun of the Dead|2004|U.K.
withoutapaddle|Without a Paddle|2004|U.S.
asakoinrubyshoes|Asako in Ruby Shoes|2000|South Korea
waneeandjunah|Wanee &amp; Junah|2001|South Korea
ju-on|Ju-On|2003|Japan
hamlet|Hamlet|1996|U.K.
bottlerocket|Bottle Rocket|1996|U.S.
kwaidan|Kwaidan|1964|Japan
banshun|Banshun (aka, Late Spring)|1949|Japan
aboutaboy|About A Boy|2002|U.K.
theincredibles|The Incredibles|2004|U.S.
ray|Ray|2004|U.S.
fogofwar|The Fog of War|2003|U.S.
houseofflyingdaggers|House of Flying Daggers|2004|China
quietfamily|The Quiet Family|1998|South Korea
newpolicestory|New Police Story|2004|Hong Kong
twinseffect2|The Huadu Chronicles: Blade of the Rose (aka, The Twins Effect II)|2004|Hong Kong
gardenstate|Garden State|2004|U.S.
touchingthevoid|Touching the Void|2003|U.K.
bestinshow|Best in Show|2000|U.S.
beforesunrise|Before Sunrise|1995|U.S.
skyblue|Sky Blue|2003|South Korea
beforesunset|Before Sunset|2004|U.S.
nationoflaw|Eyes on the Prize II: A Nation of Law?|1990|U.S.
bartonfink|Barton Fink|1991|U.S.
ongbak|Ong-Bak|2003|Thailand
mariafullofgrace|Maria Full of Grace|2004|U.S. / Columbia
whalerider|Whale Rider|2002|New Zealand
godsmustbecrazy|The Gods Must Be Crazy|1980|Botswana
benditlikebeckham|Bench It Like Beckham|2002|U.K.
runlolarun|Lola Rennt (aka, Run Lola Run)|1998|Germany
saved|Saved!|2004|U.S.
warriorsofheavenandearth|Warriors of Heaven and Earth|2003|China / Hong Kong
